names,logfoldchanges
ADPGK,0.394528687
MYBL2,-0.577501237
ACAD8,0.382300556
ACTN1,-0.384677768
CHP1,0.432911575
ICAM3,0.444241196
ECI2,0.335574478
PSME1,0.340122581
IGFBP3,-0.211176351
EPHA2,-0.34797731
TESK2,0.348677307
ZNF804A,-0.328177273
LTA4H,0.377993971
ZNF226,0.426579475
MAGT1,0.468582153
WIZ,-0.417404503
CIB1,0.527971447
SLC50A1,0.287802935
TEX10,-0.190032288
SLC24A1,0.415306121
AGA,0.338374525
DLC1,-0.241410613
PHACTR2,-0.672219574
PHACTR2,-0.837383151
CHP1,0.422479093
NOS3,0.308537334
LYZ,-1.221609235
KANSL2,0.281917125
CD36,-0.409631044
EPHA2,-0.311513394
WASF1,0.345925927
SH3BP5,0.31684646
HNRNPM,-0.227479801
DLC1,-0.249034926
PIK3R3,-0.300676614
TEX10,-0.17486164
SELP,-0.513399184
LHPP,0.380944729
WIPF2,0.204835802
CETP,-0.411145389
KDM1A,-0.264928907
ZFYVE21,0.50129956
USP7,-0.321337789
PIK3R3,-0.32621786
ZNF274,0.461751014
SSBP2,0.533357263
CIB1,0.595015287
CHP1,0.422050834
DCTD,0.352701485
WWP2,-0.489926785
CLGN,0.439806134
CD36,-0.432726413
NOS3,0.400712341
YKT6,0.284926891
ZFYVE21,0.586341679
GOT2,-0.222735673
ZNF451,0.387027532
KANSL2,0.29362914
ATP2A3,-0.454913408
IGFBP3,-0.232519746
PHACTR2,-0.720893443
EPHA2,-0.346026272
FABP4,-0.324231446
FOSL2,0.364236891
COL2A1,-0.499910265
INPP1,0.223333329
NEURL1,-0.828054249
NUDT1,-0.30379954
VWF,-0.388621539
CSK,-0.431531191
NCAPH,-0.345099509
BHLHE41,0.375947535
TUBA3D,-0.34421134
HSPA12A,0.547437131
PHACTR2,-0.572470903
ZNF274,0.418116033
RASGRF1,-0.437652022
GSPT2,0.240423933
TALDO1,-0.485417455
AURKB,-0.32633087
ALPL,-0.577368379
KCNG1,-0.408737928
DCTD,0.313939303
ICAM3,0.518582702
BEST1,0.391698509
C4BPA,-0.313312352
CIB1,0.548319995
CHP1,0.412400305
ZNF274,0.443513691
DCTN5,0.443987161
DCTD,0.336562991
PHACTR2,-0.690554798
CD36,-0.448352635
BHLHE41,0.400690585
MCM2,-0.312669218
DLC1,-0.269678861
INPP1,0.216006249
AGA,0.398959756
GLI2,-0.432983071
CAPN1,-0.615952134
DDO,0.311735809
MED13,-0.371643186
LHPP,0.387990028
GADD45A,0.538549662
HMGXB3,0.584629357
DCXR,-0.682248592
MED28,-0.474752635
PPARG,-0.353989035
ARC,0.612663388
RAI14,0.45611462
CALU,-0.458697528
CST3,-0.553133368
LAT2,0.307245195
CPSF4,0.30993256
PRKRIP1,0.48591432
S100A2,-0.61202395
MYNN,0.567901075
PRB1,-0.896038353
ASH2L,-0.647828221
TSPAN13,-0.84891212
FAM117A,0.708196998
SERPINB2,0.449113816
TESK2,0.409196079
LAMB1,-0.410815001
SERPINH1,-0.462166429
MTSS1,-0.745618582
COL6A2,-0.36270234
CD163,-0.559632063
MRPS31,-0.345855057
RHEB,-0.14810963
CIT,-0.614654779
CAPG,0.306130171
MXD1,-0.510423183
CSNK1A1,-0.616351664
CDK8,-0.486932993
CYTH3,-0.886546135
PIK3R3,-0.371610105
UBR5,-0.797173023
AGPAT1,0.367003232
ASXL1,-0.531693459
CXCL12,0.404141128
SLC16A2,0.483780503
MED4,-0.439103216
HSPD1,-0.36814332
CAPRIN1,-0.429046512
MAGEC2,-0.271227837
HLA-DRB1,-0.441379935
DLAT,-0.664631844
TGFBR2,-1.066088438
BTBD3,-0.557791352
HLA-DRA,-0.373177916
CBX1,-0.465693295
SMARCA5,-0.58277154
RHEB,-0.142464727
DHX9,-0.466790646
IFT27,0.587171435
DSTN,-0.450214237
HMGA2,-0.333932698
HLA-DPA1,-0.20021148
POMP,-0.419684619
HADH,-0.443947494
DAAM2,-0.376318544
SLC25A3,-0.349480063
GADD45A,0.502893567
CALU,-0.444105655
RTL8C,-0.319737464
CPSF4,0.301046461
PRKRIP1,0.440290153
RHOA,-0.515187919
ABLIM3,-0.666824579
RAC2,0.310399532
NOP16,0.22807543
GSTO1,-0.57854259
TFPI2,0.165318757
RCN2,-0.713245332
GTPBP2,0.563358903
TUBB6,0.173719674
TXNDC15,-0.498255759
FH,-0.381849378
ARC,0.533542156
PPP3R1,-0.731860936
IER5,0.2966488
TMEM100,-0.548461199
CNOT6,-0.791335702
RHEB,-0.17712684
HADH,-0.627811551
CAPG,0.347656727
CBX1,-0.609481156
CANX,-0.685689807
DSC3,-0.462106407
PAX8,0.489080042
JUNB,0.468148768
FOS,0.337057978
DDX52,-0.656752825
MED4,-0.474231541
LAT2,0.307421267
SDHC,-0.34856984
DSCC1,-0.475549728
ADH7,-0.847855866
TFDP1,-0.760633528
ANP32A,-0.47616443
PIGF,-0.669542432
UBE2W,-1.010538936
