,names,pvals,logfoldchanges,condition,cellline
15432774,KRT37,6.322508442263474e-13,0.3979946374893188,aripiprazole,HELA
15432775,TRHR,6.622943035911642e-13,0.4080382287502289,aripiprazole,HELA
15432776,CRADD,1.190178567012127e-12,0.2608607709407806,aripiprazole,HELA
15432777,CHMP4A,1.2039138929969004e-12,0.1493350714445114,aripiprazole,HELA
15432778,ZNF280A,1.3045133980158653e-12,0.3220939934253692,aripiprazole,HELA
15432779,MTNR1B,1.7161156225597025e-12,0.4031307101249695,aripiprazole,HELA
15432780,GATA1,1.8043229358569045e-12,0.27920001745224,aripiprazole,HELA
15432781,KRT35,1.8043229358569045e-12,0.4239980280399322,aripiprazole,HELA
15434762,CTSL,1.1388314343578831e-20,0.087778054177761,ibudilast,HELA
15434763,ADAM22,1.9571244622022006e-20,-0.2886481881141662,ibudilast,HELA
15434764,SLC35B1,2.4546667367442046e-20,0.0959934219717979,ibudilast,HELA
15434765,AMT,8.915800332878524e-20,-0.380381315946579,ibudilast,HELA
15434766,ZMAT4,1.1387062714056742e-19,-0.2639720141887665,ibudilast,HELA
15434767,PCNX2,1.4061711831179142e-19,-0.3478167355060577,ibudilast,HELA
15434768,EFR3B,1.62796230149304e-19,-0.388794869184494,ibudilast,HELA
15434769,TRIM52,2.1487857391232305e-19,-0.4514987766742706,ibudilast,HELA
15434770,HMOX1,2.472345278545909e-19,0.1508778184652328,ibudilast,HELA
15434771,MYO10,2.757436629635418e-19,0.1085568070411682,ibudilast,HELA
15434772,CNNM4,4.808942158748273e-19,-0.2271621823310852,ibudilast,HELA
15434773,ZNF446,5.368474066901391e-19,-0.3215898871421814,ibudilast,HELA
15434774,PSMG1,6.509455885390847e-19,0.1008134931325912,ibudilast,HELA
15434775,RPL10,7.020090878611937e-19,-0.2123826146125793,ibudilast,HELA
15434776,GLOD4,9.237727630880953e-19,0.1254160702228546,ibudilast,HELA
15434777,GDPD5,9.905830407544285e-19,-0.2029655128717422,ibudilast,HELA
15434778,GFOD1,1.2904332621425725e-18,-0.2487653046846389,ibudilast,HELA
15434779,ITGA8,1.4107479441963813e-18,-0.2128431648015976,ibudilast,HELA
15434780,JAK3,2.180353784712309e-18,-0.316693902015686,ibudilast,HELA
15434781,AQP2,2.2311607561834192e-18,-0.3301258683204651,ibudilast,HELA
15436762,RPL10,8.633798146562062e-26,-0.2681038379669189,gimeracil,HELA
15436763,SH2B1,1.0608012962952475e-25,-0.2308930605649948,gimeracil,HELA
15436764,SPG7,1.9713607387164808e-25,-0.3259504735469818,gimeracil,HELA
15436765,FOXO4,5.393112619662878e-23,-0.1396048069000244,gimeracil,HELA
15436766,WDR59,8.994795125852268e-23,-0.2950361967086792,gimeracil,HELA
15436767,CDK1,1.3597719722196128e-21,0.091674655675888,gimeracil,HELA
15436768,CAPN10,2.4906295552388417e-21,-0.3104461133480072,gimeracil,HELA
15436769,NRAS,2.672249719094682e-21,0.1829740107059478,gimeracil,HELA
15436770,VPS39,3.087396652970197e-21,-0.2757445573806762,gimeracil,HELA
15436771,TAZ,4.056516853139756e-21,-0.2966792285442352,gimeracil,HELA
15436772,AMT,8.242768538787647e-21,-0.4063720405101776,gimeracil,HELA
15436773,MAN2C1,2.9627467726863567e-20,-0.3669430017471313,gimeracil,HELA
15436774,CCDC130,4.497767606127434e-20,-0.318602979183197,gimeracil,HELA
15436775,KIF13B,6.297531995256584e-20,-0.3313190042972564,gimeracil,HELA
15436776,KDM4C,3.1032557213763235e-19,-0.2921870350837707,gimeracil,HELA
15436777,ARAP1,3.5326811923930177e-19,-0.2983398139476776,gimeracil,HELA
15436778,TMEM94,3.816615332045251e-19,-0.2106022983789444,gimeracil,HELA
15436779,DHX38,5.0854565085784e-19,-0.3598301708698272,gimeracil,HELA
15436780,ZNF692,6.404937764872006e-19,-0.3228445649147033,gimeracil,HELA
15436781,CROCCP2,6.48549689378693e-19,-0.123685821890831,gimeracil,HELA
15438762,ATF5,1.0235981217861906e-12,-0.2485848367214203,relcovaptan,HELA
15438763,TMEM50A,1.804958846198555e-12,-0.1356512606143951,relcovaptan,HELA
15438764,PCMT1,2.614500784238068e-12,-0.0918851643800735,relcovaptan,HELA
15438765,NUP88,8.727097343622349e-12,-0.1549719721078872,relcovaptan,HELA
15438766,ELOVL6,2.97865661196086e-11,-0.1520227044820785,relcovaptan,HELA
15438767,RACGAP1,3.2816089919587357e-11,-0.2182349413633346,relcovaptan,HELA
15438768,BIN3,5.110639505600533e-11,0.2044483423233032,relcovaptan,HELA
15438769,BUB1B,6.428704907702268e-11,-0.1358032673597335,relcovaptan,HELA
15438770,POR,6.678562377181891e-11,0.3346357047557831,relcovaptan,HELA
15438771,FDFT1,8.389744410595235e-11,-0.2564151585102081,relcovaptan,HELA
15438772,ZMYM2,8.46965336083737e-11,-0.2787214517593384,relcovaptan,HELA
15438773,RFX5,1.5580840196235154e-10,-0.1533722579479217,relcovaptan,HELA
15438774,SMC1A,1.7714917758183875e-10,-0.1633168309926986,relcovaptan,HELA
15438775,HTRA1,1.8302207042674108e-10,0.342418760061264,relcovaptan,HELA
15438776,PLAA,1.8733302358654822e-10,-0.3963496088981628,relcovaptan,HELA
15438777,KRT31,2.1686447921096318e-10,0.4198304116725921,relcovaptan,HELA
15438778,DTL,2.2874124731256886e-10,-0.1855834573507309,relcovaptan,HELA
15438779,RBBP8,2.949137635142095e-10,-0.1852052062749862,relcovaptan,HELA
15438780,CHRM2,4.2369483789690515e-10,0.3929547667503357,relcovaptan,HELA
15438781,TNFRSF11B,4.3347805308077286e-10,0.197498545050621,relcovaptan,HELA
15440762,SLC25A13,8.313937377365807e-14,-0.1689517647027969,omeprazole,HELA
15440763,RRP1B,3.997412556978604e-12,-0.143244594335556,omeprazole,HELA
15440764,TUBB6,8.097558769180746e-12,-0.1487330049276352,omeprazole,HELA
15440765,RPS9,8.904484596844158e-12,0.4184935092926025,omeprazole,HELA
15440766,DDX10,1.2277008206099247e-11,-0.1336921602487564,omeprazole,HELA
15440767,TPM1,2.7094225809831992e-11,-0.1166797503829002,omeprazole,HELA
15440768,AGPAT1,4.792052913535724e-11,0.2046874612569809,omeprazole,HELA
15440769,IARS2,6.356385356102701e-11,-0.0458482727408409,omeprazole,HELA
15440770,GATA2,7.607193119679693e-11,-0.2038535177707672,omeprazole,HELA
15440771,CCP110,9.078574989806155e-11,-0.2267111241817474,omeprazole,HELA
15440772,ATP1B1,1.0082886663222824e-10,-0.0824328660964965,omeprazole,HELA
15440773,CCHCR1,1.2532067518593034e-10,0.2019968330860138,omeprazole,HELA
15440774,TCERG1,1.293020657582861e-10,-0.177808403968811,omeprazole,HELA
15440775,MYOM1,2.4506044317322476e-10,0.3367683589458465,omeprazole,HELA
15440776,TMED9,2.480987032346609e-10,0.2240626513957977,omeprazole,HELA
15440777,CCNF,2.60623908774091e-10,-0.2079169452190399,omeprazole,HELA
15440778,C5,3.12056430945621e-10,0.363384336233139,omeprazole,HELA
15440779,GTPBP4,4.3563553487342764e-10,-0.143167182803154,omeprazole,HELA
15440780,BAG3,4.5181019112151436e-10,-0.2843571901321411,omeprazole,HELA
15440781,COX4I1,5.225751728000481e-10,0.2946989238262176,omeprazole,HELA
15442762,RPL5,2.530546472887188e-21,0.3423934876918793,dacomitinib,HELA
15442763,RPS6,6.101187094820989e-21,0.0864462256431579,dacomitinib,HELA
15442764,RPL4,3.3102625968628013e-17,0.2321116924285888,dacomitinib,HELA
15442765,BTF3,1.1913577634412498e-16,0.2617034316062927,dacomitinib,HELA
15442766,NFKB2,5.390052217173824e-16,-0.6277944445610046,dacomitinib,HELA
15442767,EEF1B2,1.0113204641135725e-15,0.3098783791065216,dacomitinib,HELA
15442768,RPS16,1.0949944393128837e-15,0.3631001114845276,dacomitinib,HELA
15442769,GAPDH,2.8216721143650947e-15,0.3096530139446258,dacomitinib,HELA
15442770,RAN,6.627408132887804e-15,0.2191181927919387,dacomitinib,HELA
15442771,TPT1,1.2356241120938183e-14,0.4762162268161773,dacomitinib,HELA
15442772,CDK1,1.5274152313177093e-14,-0.1116029024124145,dacomitinib,HELA
15442773,CCND3,1.5958628982832802e-14,-0.0978990197181701,dacomitinib,HELA
15442774,CERS2,2.3555420828397806e-14,0.1596330255270004,dacomitinib,HELA
15442775,MYH10,2.5263671440187332e-14,-0.145408809185028,dacomitinib,HELA
15442776,NOP53,3.6284149472799784e-14,0.2314695566892624,dacomitinib,HELA
15442777,RPL8,4.232306418364555e-14,0.327507883310318,dacomitinib,HELA
15442778,RPL34,6.852123857424627e-14,0.3877941071987152,dacomitinib,HELA
15442779,RPL13A,9.06788442678673e-14,0.3339399397373199,dacomitinib,HELA
15442780,DBH,1.3043152570407348e-13,0.1984688192605972,dacomitinib,HELA
15442781,HAO2,1.5219492042475849e-13,0.2572850584983825,dacomitinib,HELA
15444762,ATF5,9.157203637495028e-15,-0.4169674515724182,brequinar,HELA
15444763,NUP88,4.730127664944317e-14,-0.1883983463048935,brequinar,HELA
15444764,BUB1B,9.594731059077641e-14,-0.1927047073841095,brequinar,HELA
15444765,ELOVL6,1.1041379273905689e-13,-0.2075836807489395,brequinar,HELA
15444766,LBR,1.1343195228586453e-13,-0.2140790373086929,brequinar,HELA
15444767,DNTTIP2,1.790640149106723e-13,-0.2359778881072998,brequinar,HELA
15444768,TSR1,3.6315569666095483e-13,-0.2797008752822876,brequinar,HELA
15444769,PAFAH1B3,7.224346063909079e-13,0.1122517511248588,brequinar,HELA
15444770,WDR3,7.300120246521072e-13,-0.3328916430473327,brequinar,HELA
15444771,PCMT1,8.229613518216445e-13,-0.1473391950130462,brequinar,HELA
15444772,ARFGEF2,9.226951488618598e-13,-0.2922612428665161,brequinar,HELA
15444773,PDE6G,1.447053754203725e-12,0.4556750059127807,brequinar,HELA
15444774,SELENOF,2.030682056887953e-12,-0.344810277223587,brequinar,HELA
15444775,TPM1,2.08329917144186e-12,-0.1761766523122787,brequinar,HELA
15444776,IMPA2,2.115508914632708e-12,0.2038015723228454,brequinar,HELA
15444777,GSTM1,3.739176905076043e-12,0.1600025296211242,brequinar,HELA
15444778,C1RL,3.893502044560697e-12,0.2203281074762344,brequinar,HELA
15444779,NIPBL,3.913226439042573e-12,-0.2355027347803115,brequinar,HELA
15444780,CAPZA1,3.933048790098155e-12,-0.2957769334316253,brequinar,HELA
15444781,ADNP,4.115937341868339e-12,-0.2356743812561035,brequinar,HELA
15446762,TNKS,3.622187812074518e-21,-0.1747080832719802,alectinib,HELA
15446763,HSPA1A,1.2988661419007483e-20,0.216616690158844,alectinib,HELA
15446764,CTF1,1.195679415577762e-19,-0.3001732230186462,alectinib,HELA
15446765,POMGNT1,1.1995448771090861e-19,-0.1911876797676086,alectinib,HELA
15446766,VWA1,3.0331655472038213e-19,-0.3334239423274994,alectinib,HELA
15446767,CHORDC1,4.0600093625978544e-19,0.1552633941173553,alectinib,HELA
15446768,ASL,8.111866414295057e-19,-0.2434284090995788,alectinib,HELA
15446769,DNASE1L1,2.3504340725052552e-18,-0.2787549495697021,alectinib,HELA
15446770,BDH1,3.8676206434218884e-18,-0.0969393998384475,alectinib,HELA
15446771,LRBA,8.608532783959116e-18,-0.1185389533638954,alectinib,HELA
15446772,ZDHHC4,1.1792205129583076e-17,-0.1772569268941879,alectinib,HELA
15446773,RER1,1.4134692602024676e-17,-0.2090495079755783,alectinib,HELA
15446774,BCAS3,2.3414884124712748e-17,-0.2517239451408386,alectinib,HELA
15446775,TESK2,3.021190702939672e-17,-0.149474948644638,alectinib,HELA
15446776,INTS5,4.33875937048312e-17,-0.2349070012569427,alectinib,HELA
15446777,ALDH2,7.154574568322093e-17,-0.1597117781639099,alectinib,HELA
15446778,TFDP1,7.810631037182583e-17,0.2081447541713714,alectinib,HELA
15446779,MYCBP,8.412791061039081e-17,-0.0920079723000526,alectinib,HELA
15446780,TK2,9.19604629108468e-17,-0.2548254430294037,alectinib,HELA
15446781,MBTPS1,9.291984927386435e-17,-0.1788991838693618,alectinib,HELA
15448762,FOXO4,1.2747997912984237e-22,-0.1570792347192764,vanoxerine,HELA
15448763,TK2,6.864087341951814e-21,-0.3245916962623596,vanoxerine,HELA
15448764,PAIP2B,2.247335802857594e-19,-0.2202445566654205,vanoxerine,HELA
15448765,MEGF8,2.4452982933724587e-19,-0.2777735292911529,vanoxerine,HELA
15448766,HMOX1,3.984858123478687e-19,0.1551348865032196,vanoxerine,HELA
15448767,TMEM187,4.0804415499712434e-19,-0.2062868177890777,vanoxerine,HELA
15448768,SH2B1,5.341902950304117e-19,-0.187550202012062,vanoxerine,HELA
15448769,PIK3C2B,1.5414772501521238e-18,0.0712385773658752,vanoxerine,HELA
15448770,ADAM22,2.2687216597388602e-18,-0.2625922560691833,vanoxerine,HELA
15448771,TRADD,3.0117117844837783e-18,-0.2518556714057922,vanoxerine,HELA
15448772,HDAC5,3.6486408781778374e-18,-0.3083930313587188,vanoxerine,HELA
15448773,EXTL3,5.861439726429134e-18,-0.2427317798137664,vanoxerine,HELA
15448774,VPS39,6.1580217578631094e-18,-0.2505164444446563,vanoxerine,HELA
15448775,FAM3A,9.622336744591297e-18,-0.2479336857795715,vanoxerine,HELA
15448776,WDR59,1.103012390818538e-17,-0.2630749046802521,vanoxerine,HELA
15448777,RPL10,1.1205103147192779e-17,-0.1935857385396957,vanoxerine,HELA
15448778,LAMB2,1.699883432926254e-17,-0.2092927098274231,vanoxerine,HELA
15448779,SPG7,2.4640219711741497e-17,-0.2476481944322586,vanoxerine,HELA
15448780,GCDH,2.654263812789103e-17,-0.1880751550197601,vanoxerine,HELA
15448781,PPP1R26,2.800333782499165e-17,-0.2548684775829315,vanoxerine,HELA
15450762,FOXO4,4.261695806823967e-20,-0.1348087191581726,levocabastine,HELA
15450763,KIF13B,1.4910556346708436e-19,-0.3492561876773834,levocabastine,HELA
15450764,KPNA3,2.235117056370493e-18,0.226027637720108,levocabastine,HELA
15450765,FAXDC2,3.361816607447191e-18,-0.2161642462015152,levocabastine,HELA
15450766,ADAM22,3.607262364029114e-18,-0.2674688398838043,levocabastine,HELA
15450767,SLC24A1,4.4861594610875174e-18,-0.3924013078212738,levocabastine,HELA
15450768,TMEM187,4.6464759731398255e-18,-0.2025842070579528,levocabastine,HELA
15450769,BCAS3,6.413458302642613e-18,-0.2944451570510864,levocabastine,HELA
15450770,RPL10,6.723296365696448e-18,-0.2052579522132873,levocabastine,HELA
15450771,PRUNE1,9.610505485322649e-18,-0.175909087061882,levocabastine,HELA
15450772,FAN1,9.67757726954687e-18,-0.2304568737745285,levocabastine,HELA
15450773,CCDC130,1.0302391333886729e-17,-0.2859893441200256,levocabastine,HELA
15450774,RRP8,1.7228741043250428e-17,-0.1306576877832412,levocabastine,HELA
15450775,TK2,1.7926033204626272e-17,-0.2846159934997558,levocabastine,HELA
15450776,PAPPA2,1.964061405795568e-17,-0.3673003017902374,levocabastine,HELA
15450777,KDM4C,3.800876881723349e-17,-0.283698171377182,levocabastine,HELA
15450778,PSMD14,4.8830518305373584e-17,0.1927376389503479,levocabastine,HELA
15450779,TYW1,5.129948391006212e-17,-0.2316799759864807,levocabastine,HELA
15450780,SLC43A3,6.364366968912317e-17,0.1191133633255958,levocabastine,HELA
15450781,GABRR2,1.1924885071552334e-16,-0.2593204379081726,levocabastine,HELA
15452762,BAHD1,1.733761686326296e-21,-0.3727906346321106,glasdegib,HELA
