names,logfoldchanges
TXN,-0.656754315
IL1R1,-0.594275773
FZD8,-0.824366629
PROC,-1.133408308
ACAN,-1.370339751
ALPP,-0.905279398
FBXL6,-0.798382044
ADAM15,-0.849364042
CRIP2,-0.487232596
NEUROG1,-1.632383823
KMT5A,-0.734522283
APOC3,-0.750930488
PAF1,-1.277443767
PROC,-1.212525368
EVPL,-0.594972968
COL10A1,-1.212865591
ALPP,-0.981758475
GNAI2,-0.890098631
TTR,-0.991021812
PRB3,-0.885945141
DUSP9,-0.93851614
KLHDC4,-0.651503205
AGPAT2,-1.202877522
PAQR4,-0.749707997
EFNA3,-0.812990367
DBP,-0.985419035
GJB3,-0.94566524
SDC4,-1.24181366
PRPF31,-1.184552431
CPNE1,-0.683029115
LCP1,0.662999511
NFIB,-0.619517744
ALDH1A3,-0.530650854
RNF141,-1.096389055
SOX4,-0.538672268
ANO1,-2.56845665
CARMIL1,-0.968373358
IFI6,-0.502866864
STK39,-0.610077977
GAREM1,-0.496094167
PEX10,-0.441024721
ARHGEF12,-1.104380965
MT3,0.480994165
UGCG,-0.505634964
FLT4,0.696921587
ACKR1,-0.8094908
NUDT9,-0.254393011
QPCT,0.414988995
PLA1A,-0.501449466
ZNF24,-0.735510826
LDHB,0.721306622
RPE,0.593161583
FSTL3,-0.741440535
IFT20,-0.571299076
KIFC3,-1.075967908
PTMS,-0.688712895
ABR,-0.777173519
DSG3,-0.578181922
COCH,0.38936615
AMDHD2,-0.480236918
LAMB3,-0.750481784
UCHL1,0.39438799
MAP4K5,0.442715675
APOA4,-0.777770579
HOXC6,-0.757495344
SPART,0.493870586
SOAT1,0.285463244
LAMB2,-0.560420513
SNRNP70,-0.541726768
PSD4,-0.605073988
S100A4,0.896809399
JPT2,-1.081513405
MALT1,0.75733614
DNASE1L3,0.439999223
DUSP1,-1.416115522
MIOS,-0.614413023
CUX1,-0.595934987
UBE2I,-0.289134413
OXTR,0.269656301
KRT19,-0.287458509
DPAGT1,-0.296845675
ZNF281,-0.652223468
SLC35E1,-0.516767323
RASL11B,-0.475920647
ATXN2,-0.551270008
LAMB1,-0.862211287
ST8SIA1,0.383446425
VIM,0.440625548
PELO,-0.583295703
AKAP13,-1.078627229
KLRC3,0.647602022
YWHAE,-0.668316901
SERPINF1,-0.607281208
CD160,0.890535235
CRK,-0.381833583
UBA6,0.548702002
JPT1,-0.295118093
SKAP2,-0.749484599
ADD2,0.591824532
SCN3A,0.445894331
FAM53C,-0.33850807
COL4A6,0.448764861
SPTA1,0.508664548
DCP2,-0.358847141
TLE4,0.476142168
GRINA,-0.496313304
VEGFC,0.449013323
RNF125,0.438579082
PHLPP2,0.437871039
LAMB2,-0.643892467
CD163,-0.644970536
CREB5,0.411953866
DENND3,0.508124709
RRAGA,-1.134936929
BAG1,-0.628852785
RUVBL1,-0.388177663
AQP5,-0.63778919
TLE4,0.489335448
CST7,0.447558045
CD160,0.853758752
PTK2B,0.733365893
MAFB,-0.623212993
POR,-0.708044171
PPP1R16B,0.426534981
VEGFC,0.45524615
BCHE,0.615439355
PHLPP2,0.439558417
RTL8C,-0.319538504
XCL1,0.668296099
CRK,-0.371655077
PELO,-0.790637791
DNASE1L3,0.45051387
UBE2I,-0.328507006
TMPRSS11E,-0.663367569
VIM,0.478348911
LAMB1,-0.924527049
GID8,-0.39871788
PSEN1,-0.491643727
S100A4,0.732234299
AHR,0.33069995
SPON2,-0.516169012
TMEM70,-0.570114017
SPSB3,-0.502371967
AKAP17A,-0.830658674
TYRP1,0.430771679
MRPL19,-0.18858026
TMEM254,0.454508841
GCH1,-0.418719828
HEBP2,-0.623506248
SRGN,0.885414302
VIM,0.504381835
CYBRD1,0.520988226
DNASE1L3,0.456853062
PELO,-0.641385853
HEBP2,-0.637396514
ARHGAP15,0.321378082
SLC7A1,-0.509772837
MNT,-0.494622499
S100A4,0.741685927
AHR,0.315030515
SLC3A2,-0.605402946
KRT19,-0.31169951
PECR,0.397154838
LAMB1,-0.885613382
SOX4,-0.374500245
KDM2A,-0.403550476
TMPRSS11E,-0.637414932
CNOT6,-0.543242931
KLRB1,0.586401165
UBE4A,-0.570076704
KLRC3,0.650050938
MLANA,0.512520194
ANGPT1,-0.477976829
KLF13,-0.934910893
ALPL,-0.846706092
DCT,0.48577264
TYR,0.499552995
THY1,-0.76255399
KLRK1,0.512895465
BCHE,0.629359305
SREBF1,-0.500491619
UBA6,0.546615124
TARBP1,0.524519384
SNCG,-0.675458133
WDR26,0.341249287
PHLPP2,0.415324301
IGSF1,0.348100036
FBXW7,-0.845824838
NFKB2,-0.833105981
B3GNT3,-0.714697003
VIM,0.483718485
QPCT,0.419623524
C1QB,-0.580694437
PELO,-0.675427377
TMEM254,0.495676398
REX1BD,-0.593465924
BIK,-0.447589725
UBE2I,-0.260610282
TYRP1,0.420320779
TYR,0.539672196
COLGALT1,-0.412653476
S100A4,0.798141241
CAVIN1,-1.171260953
SNCA,0.739920497
JPT2,-0.810907304
PHC2,-0.856231809
CDK8,-0.627418816
COL6A2,-0.781461716
HPRT1,-0.443648577
PRND,-0.815775216
JPT2,-1.011811256
PHC2,-0.882561505
VIM,0.462241024
S100A4,0.766630173
TYRP1,0.439334869
PSEN1,-0.481745631
C1QB,-0.577852309
DNASE1L3,0.415148556
TMEM254,0.45991993
PANX1,-0.537008822
ARCN1,-0.638002157
GID8,-0.373710155
CSNK1A1,-0.806701183
GLUL,-0.62441659
SCD,-0.275142342
CARMIL1,-0.837219536
UBE2I,-0.236814871
MARCKS,-0.548804462
MRPL19,-0.176317558
EPPK1,-0.514973044
DNASE1L3,0.499713272
HEBP2,-0.658473313
PHC2,-0.883351088
SQLE,-0.203680262
UXS1,-0.337175697
