names,logfoldchanges
CDC25C,-0.356882811
RNASEH2A,-0.383448303
RPL26L1,-0.252763599
DGKI,0.29760173
LSM2,-0.428734839
CREG1,-0.450913608
IL1B,-0.346907854
EPN2,0.329658449
TCEA2,0.272037745
SLC4A2,0.337895006
SORT1,0.404266387
LRRC61,0.500008702
B4GALNT1,0.483709693
KLHL9,-0.292114049
CHEK2,-0.547217607
SYT5,0.600265861
PLAAT1,0.180780157
DLG4,0.412481815
DUSP4,0.428255528
F2RL3,0.621045887
SHC3,0.51674968
FHL2,-0.154625595
POU3F4,0.433976561
SYNM,0.327659398
FNDC11,0.639763176
DXO,0.265528142
CD59,-0.293938696
HMGXB3,0.276113868
ZNF500,0.303694636
CAVIN2,-0.343949735
BTRC,0.292732567
APOBEC3A,-0.825917006
DBP,-0.578030348
ZBTB7A,0.204841614
RETREG2,0.268777877
IKZF1,-0.384126782
EAPP,-0.347589225
ID3,-0.280011892
RAD54L2,0.282420754
EGR3,-0.187052026
POLB,-0.255332351
PRB3,-0.766278267
SLC37A1,-0.272202998
RPRD2,0.218251735
KPNA6,0.242149234
XPNPEP3,0.334909797
SETD6,0.181038588
LGALSL,-0.460373223
GLRX,-0.10888765
TAF5L,0.322329313
AKTIP,-0.558640838
STXBP2,-0.287532479
MUS81,0.282088816
ALDOC,-0.53569293
BRD1,0.26463744
EGR3,-0.185314849
CDC25A,0.160769254
GCC1,0.245064914
URB2,0.182984397
GK,-0.225580543
HPF1,-0.240889087
XRCC4,-0.311097622
BIRC5,-0.118540995
POLB,-0.246724889
NAIP,0.283082098
MIF,-0.190238357
PPP2CB,0.23380442
VAMP5,-0.30340606
NAGK,-0.340919286
NAA10,-0.209582299
CST2,-0.183839843
CHAF1A,-0.305353731
HAUS7,-0.188831016
PSME2,-0.160355717
LRRC42,-0.277078182
MRPL17,-0.173891634
RABAC1,-0.341804534
NABP2,-0.199123964
PSMD9,-0.169618368
TRNAU1AP,-0.386944175
GCAT,-0.205383435
P2RX4,-0.245267272
IRS1,0.122459352
MRPS12,-0.302962363
SNCG,-0.263852656
PPP4R3B,-0.275490731
CYP1A1,-0.303896308
RHOA,-0.234304622
CEP76,-0.39075458
GPR143,0.169424772
DCLRE1C,-0.271289676
FOXC1,-0.215589151
EIF6,0.162270457
LMO4,-0.131903201
UST,-0.231778964
SCARF1,0.289863825
CPS1,-0.243417427
HEXB,-0.118266858
HOXD9,0.210183576
PRPF4,-0.06882605
RIOK2,-0.273615032
MICB,-0.143921748
TTF1,-0.172481194
EBAG9,-0.289653897
ZNF764,-0.252420813
TBPL1,-0.432612777
ADAMTSL3,0.366279244
UBR4,0.301752537
SURF1,-0.228743851
CASP4,-0.307586491
CHD4,0.321093678
ADAR,0.285255581
DNMT1,0.159471616
ATP2B4,0.223387778
DCAF13,0.471490651
ZNF862,0.302828401
ERCC3,0.151928127
CDK4,0.067711905
SETDB1,0.23019278
BLCAP,0.12835601
DHX16,0.182484046
SUPT16H,0.182327434
AREL1,0.141039595
MELK,0.138117015
SQOR,-0.355057508
MCM10,-0.374034196
PRKCH,-0.58779192
TNS1,0.244121581
PRPF18,-0.344683915
HSF2,-0.317776322
PTBP3,-0.424954921
PUM2,-0.483978152
DLG1,-0.178024292
NFYA,-0.455904692
SDS,0.271050602
CD164,-0.265626669
B3GNT2,-0.331017733
LHB,0.25064978
APBB1,0.278970003
